id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8217,"Estudio en Madrid, zona Ventas / Ciudad Lineal.",86843365,Carlos,Ciudad Lineal,Ventas,40.42493,-3.6581,Entire home/apt,40,1,45,8/2/2019,1.87,2,201
8218,BED &BREAKFAST MADRID Single Room fcil acceso,150809738,Lina,San Blas - Canillejas,Rejas,40.44849,-3.5999,Private room,20,1,182,9/15/2019,7.59,2,62
8219,"apartamento con  patio, cerca del centro,",145007053,Mario,Carabanchel,Vista Alegre,40.38783,-3.74273,Entire home/apt,350,2,9,10/21/2018,0.56,1,0
8220,Hab. cmoda. Cerca centro. 10'.   Barrio tranquilo,150850703,Nelson,Moratalaz,Media Legua,40.40841,-3.66087,Private room,30,3,33,7/8/2019,1.41,1,141
8221,Spectacular Apartment in Exclusive Chamberi District,79020953,Isa & Amanda,Chamber,Gaztambide,40.4331,-3.71355,Entire home/apt,175,1,130,9/11/2019,5.38,6,292
8222,Romntico estudio en el centro de Madrid,70510129,Pilar,Centro,Palacio,40.42158,-3.70994,Entire home/apt,49,1,207,9/11/2019,8.67,1,305
8223,Bright cozy room near Universidad Complutense.,127076459,Didi,Tetun,Berruguete,40.45798,-3.71095,Private room,22,1,5,7/7/2019,0.24,1,71
8224,Estudio coqueto,150875589,Alfredo,Tetun,Bellas Vistas,40.45195,-3.70707,Entire home/apt,27,20,0,,,1,0
8225,Acogedor apartamento junto al Teatro Real,3384746,Ana,Centro,Palacio,40.41834,-3.71041,Entire home/apt,70,1,59,9/1/2019,2.44,4,350
8226,R4D Beautiful duplex in the center of Madrid,27159185,Ruben,Centro,Embajadores,40.41074,-3.69682,Entire home/apt,55,90,10,4/18/2019,0.42,5,85
8227,Volvoreta,150993443,Maru,Centro,Embajadores,40.40881,-3.70915,Private room,27,1,150,8/27/2019,6.26,3,13
8228,El pisito de LEO,53072657,Leandro,Puente de Vallecas,San Diego,40.3899,-3.66687,Entire home/apt,50,3,90,7/1/2019,3.76,1,90
8229,Habitacin para chica.Las mejores vistas de Madrid,151042704,Maria,Latina,Puerta del Angel,40.40727,-3.73084,Private room,17,2,3,2/26/2018,0.12,1,0
8230,ACOGEDOR APARTAMENTO EN MALASAA!,143735161,Alvaro,Centro,Universidad,40.4278,-3.70323,Entire home/apt,35,2,3,10/29/2017,0.13,1,0
8231,Your House in Malasaa,40877988,Eduardo Y Raul,Centro,Universidad,40.42555,-3.70703,Entire home/apt,80,2,92,8/28/2019,3.8,56,198
8232,Tirso Molina Apartmetns by Allô Housing,4599639,Allô,Centro,Sol,40.414,-3.70605,Entire home/apt,105,2,2,10/29/2017,0.08,24,192
8233,ELEGANT APARTAMENT | BERNABEU - BUSINESS DISTRICT,118226525,Natasha Y Dario,Tetun,Cuatro Caminos,40.45514,-3.69415,Entire home/apt,54,2,73,9/6/2019,3.01,4,0
8234,Habitacin con dos camas en un piso en Delicias!,62427231,Francisco,Arganzuela,Delicias,40.39832,-3.69386,Private room,25,1,6,2/1/2018,0.25,1,0
8235,Apartamento El Jardn del ngel Sauce,148071429,Jos,Centro,Sol,40.4158,-3.70159,Entire home/apt,140,2,8,8/25/2018,0.33,6,160
8236,Habitacin privada amplia y luminosa,70525839,Rafa,Puente de Vallecas,Palomeras Bajas,40.39371,-3.66118,Private room,38,3,28,7/11/2019,1.16,2,355
8237,60Balconies Puerta del Sol,31774454,Juan Jos,Centro,Sol,40.41745,-3.70612,Entire home/apt,240,3,65,8/29/2019,2.74,2,149
8238,Apartamentos El Jardn del ngel Olivo,148071429,Jos,Centro,Cortes,40.4146,-3.70208,Entire home/apt,130,2,6,5/12/2019,0.25,6,142
8239,"Royal Palace, Amazing Views!! 2 Bedrooms & Wifi",16960262,Consuelo,Centro,Palacio,40.41404,-3.71535,Entire home/apt,40,14,34,7/18/2019,1.4,6,226
8240,Large room with Balcony -Malasaa city center,60179393,Dorian,Centro,Universidad,40.42465,-3.70465,Private room,20,20,1,5/27/2018,0.06,1,0
8241,Casa Plaza Mayor,15423690,Alfonso,Centro,Sol,40.4171,-3.70767,Entire home/apt,119,2,155,9/11/2019,6.74,1,54
8242,"MALASAA/CHUECA, NUEVO DE DISEO ACOGEDOR LUMINOSO",125712780,Martha Ligia,Centro,Universidad,40.42348,-3.70258,Entire home/apt,110,2,8,12/30/2017,0.34,2,2
8243,Loft near Bernabu Stadium,151262541,Jos Miguel,Chamartn,Hispanoamrica,40.45292,-3.67959,Entire home/apt,54,3,0,,,1,0
8244,Loft en barrio de Salamanca/Guindalera. WIFI y A/A,109948084,Nacho,Salamanca,Guindalera,40.43631,-3.6752,Entire home/apt,69,1,60,7/7/2019,2.57,5,77
8245,M (CBA30) Best Offer Rastro Madrid La Latina,100336740,Leticia,Centro,Palacio,40.4135,-3.70821,Entire home/apt,83,1,1,10/29/2017,0.04,42,49
8246,"Habitacin, como en casa!!",18051792,Ernesto,Centro,Palacio,40.40964,-3.7157,Private room,22,1,2,9/28/2017,0.08,1,0
8247,FRIEND GUEST HOUSE - MALASAA,118226525,Natasha Y Dario,Centro,Universidad,40.42633,-3.70906,Entire home/apt,94,2,65,6/23/2019,2.77,4,0
8248,GREAT APARTMENT IN THE HEART OF MADRID,3939801,Juan,Centro,Embajadores,40.40911,-3.70432,Entire home/apt,89,2,120,9/6/2019,5,9,316
8249,"NEW APARTMENT IN DOWNTOWN, BEST PRICE",3939801,Juan,Centro,Embajadores,40.41047,-3.70514,Entire home/apt,89,2,90,9/8/2019,3.76,9,322
8250,SOL **Spacious Dream Apartment**,28786243,Emilio,Centro,Embajadores,40.40972,-3.70462,Entire home/apt,78,1,73,9/1/2019,3.06,58,30
8251,Vive Madrid desde La Latina,505981,Fernando,Centro,Embajadores,40.41124,-3.70642,Entire home/apt,57,2,69,9/16/2019,3,3,159
8252,Comfortable room in Salamanca/Retiro Park,136300607,Matias,Salamanca,Goya,40.42208,-3.6788,Private room,34,2,1,10/1/2017,0.04,1,0
8253,Vive Madrid! Two spaces of tranquility and luxury,505981,Fernando,Centro,Embajadores,40.41082,-3.70704,Entire home/apt,38,2,25,7/22/2019,1.16,3,152
8254,COSY STUDIO IN MADRID CENTER,3939801,Juan,Centro,Embajadores,40.41095,-3.70532,Entire home/apt,49,2,94,9/6/2019,3.93,9,317
8255,Atico dplex Malasaa,151501397,Isabel,Centro,Universidad,40.42626,-3.70477,Entire home/apt,89,2,158,9/17/2019,7,2,58
8256,Apartment in Malasaa *Madrid Centro*,14954643,Miguel,Centro,Universidad,40.42471,-3.70432,Entire home/apt,51,3,12,6/25/2019,0.51,1,0
8257,"NICE APARTMENT, NICE PRICE IN DOWNTOWN",3939801,Juan,Centro,Embajadores,40.41079,-3.70488,Entire home/apt,89,2,101,9/8/2019,4.17,9,130
8258,comfortable and centrally located 2 room apartment,59187172,Sergio,Centro,Embajadores,40.41031,-3.69551,Entire home/apt,85,1,194,9/2/2019,8.13,6,150
8259,4B3 - calm room with wifi.,151519737,Maria,Salamanca,Guindalera,40.43413,-3.67098,Private room,18,1,16,8/31/2019,1.11,3,225
8260,Apartamento Malasaa,151501397,Isabel,Centro,Universidad,40.42708,-3.70458,Entire home/apt,55,2,129,9/11/2019,5.74,2,55
8261,Habitac. individual balc. Metro: Mirasierra/Lacoma,139417722,Jose Oscar,Fuencarral - El Pardo,Mirasierra,40.49112,-3.72327,Private room,29,3,5,4/23/2018,0.21,4,261
8262,Luxury Apartment Downtown - Barrio de Salamanca,150970727,Mariana,Salamanca,Recoletos,40.42897,-3.68359,Entire home/apt,250,2,27,9/15/2019,1.14,1,242
8263,Malasaa Center - MADFlats Collection,112373304,Daniel,Centro,Universidad,40.42204,-3.70126,Entire home/apt,99,1,9,7/19/2019,0.38,47,187
8264,DOBO ROOMS HUERTA DEL BAYO,133056146,Dobo Rooms,Centro,Embajadores,40.40812,-3.70693,Entire home/apt,108,1,6,6/29/2019,0.87,28,86
8265,"GASSETPLACE. Apartamento zona Salamanca, Lista.",151622716,Natalia,Salamanca,Lista,40.43127,-3.67627,Entire home/apt,70,2,46,8/28/2019,2.42,1,8
8266,Penthouse  in Plaza de Espaa,121980622,Lola,Centro,Universidad,40.4235,-3.71014,Entire home/apt,128,3,67,8/3/2019,2.77,34,172
8267,Room near HOSPITAL LA PAZ,149239189,Monish,Chamartn,Castilla,40.47789,-3.6857,Private room,30,3,8,7/15/2019,0.37,1,0
8268,"Charming Room, Lots of Light, WIFI. Las Rosas rea",70178248,Rafael,San Blas - Canillejas,Rosas,40.4273,-3.60481,Private room,21,2,37,7/5/2019,1.57,1,40
8269,CENTRE **Stunning Terrace Apartment**,28786243,Emilio,Centro,Embajadores,40.40851,-3.69876,Entire home/apt,84,1,48,9/3/2019,1.99,58,67
8270,"Home sweet home ,lovely loft right in the center",20390273,Mt,Centro,Palacio,40.41443,-3.71653,Private room,39,2,25,6/3/2019,1.31,1,36
8271,"2 Habitaciones, 3 o 4 personas..",36191078,Brbara,Carabanchel,Vista Alegre,40.3898,-3.74081,Private room,50,3,1,10/16/2017,0.04,3,0
8272,Cozy apartment near Las Ventas. Only females.,37066929,Maria,Ciudad Lineal,Concepcin,40.43259,-3.65576,Private room,28,2,16,6/3/2019,0.68,1,75
8273,Todo Pasa por la Plaza,51411572,Hayan,Centro,Sol,40.41456,-3.70717,Private room,40,2,2,10/17/2017,0.08,2,0
8274,Habitacion Individual -Single Room 15' from center,36191078,Brbara,Carabanchel,Vista Alegre,40.39027,-3.74145,Private room,17,5,4,2/27/2019,0.18,3,2
8275,Precioso estudio abuhardillado junto a la Gran Va,4036376,Ana,Centro,Palacio,40.42015,-3.70839,Entire home/apt,120,3,1,12/10/2017,0.05,3,176
8276,Studio cmodo iluminoso,17095640,Gelin,Salamanca,Guindalera,40.43705,-3.67371,Entire home/apt,69,1,29,9/11/2019,1.22,1,152
8277,Loft Studio in The heart of Madrid,30980168,Francia,Centro,Palacio,40.40945,-3.71151,Entire home/apt,65,4,3,9/16/2019,0.16,1,321
